document	1	1.1	2	2.1	3	3.1	4	4.1	5	5.1	6	6.1	7	7.1	7.2	7.3	7.4	8	8.1	8.2
doc1	45	45	5	5	5	5	33	33	0	0	4	4	33	5	33	0	4	45	45	45
doc2	89	89	47	47	49	49	51	51	3	3	15	15	51	49	51	3	15	89	89	89
